;Part of: 1 ÷ 20 ìêë 350;;Part of: 1 ÷ 20 ìêë 400;;Part of: 1 ÷ 20 ìêë 300 smoothed;
Time;12:45:48;12:48:45;;12:43:38;;
Wavelength [nm];Intensity;Wavelength [nm];intensity;Wavelength [nm];intensity;
451,500;0,94564;499,500;0,87757;401,500;0,98441;
452,000;0,9432;500,000;0,8736;402,000;0,98308;
452,500;0,9401;500,500;0,86872;402,500;0,98174;
453,000;0,93644;501,000;0,86307;403,000;0,98083;
453,500;0,93266;501,500;0,85729;403,500;0,98055;
454,000;0,9292;502,000;0,8518;404,000;0,98085;
454,500;0,92614;502,500;0,8466;404,500;0,98166;
455,000;0,92328;503,000;0,84159;405,000;0,98296;
455,500;0,92039;503,500;0,83667;405,500;0,9848;
456,000;0,91742;504,000;0,83175;406,000;0,98711;
456,500;0,91441;504,500;0,82666;406,500;0,98952;
457,000;0,91133;505,000;0,82135;407,000;0,99157;
457,500;0,90815;505,500;0,81579;407,500;0,99302;
458,000;0,90494;506,000;0,80992;408,000;0,99391;
458,500;0,90171;506,500;0,80356;408,500;0,99446;
459,000;0,89821;507,000;0,79665;409,000;0,99487;
459,500;0,89416;507,500;0,78942;409,500;0,99526;
460,000;0,88969;508,000;0,78248;410,000;0,99554;
460,500;0,88545;508,500;0,77638;410,500;0,9954;
461,000;0,88202;509,000;0,77132;411,000;0,99462;
461,500;0,87926;509,500;0,7671;411,500;0,99335;
462,000;0,87653;510,000;0,7633;412,000;0,99202;
462,500;0,87344;510,500;0,75952;412,500;0,99099;
463,000;0,87011;511,000;0,7554;413,000;0,99029;
463,500;0,86677;511,500;0,75072;413,500;0,98972;
464,000;0,86345;512,000;0,74542;414,000;0,98913;
464,500;0,85998;512,500;0,73959;414,500;0,98846;
465,000;0,85631;513,000;0,73341;415,000;0,98778;
465,500;0,85268;513,500;0,72716;415,500;0,98709;
466,000;0,84954;514,000;0,72102;416,000;0,98633;
466,500;0,847;514,500;0,71499;416,500;0,9855;
467,000;0,84474;515,000;0,70893;417,000;0,98465;
467,500;0,8423;515,500;0,70294;417,500;0,98386;
468,000;0,83946;516,000;0,69729;418,000;0,98315;
468,500;0,83622;516,500;0,69207;418,500;0,98247;
469,000;0,83251;517,000;0,68692;419,000;0,9818;
469,500;0,82829;517,500;0,68134;419,500;0,98104;
470,000;0,8237;518,000;0,6752;420,000;0,98018;
470,500;0,81907;518,500;0,66883;420,500;0,97939;
471,000;0,81457;519,000;0,66261;421,000;0,97897;
471,500;0,81018;519,500;0,65662;421,500;0,97904;
472,000;0,80588;520,000;0,65066;422,000;0,97936;
472,500;0,80166;520,500;0,64455;422,500;0,97947;
473,000;0,79762;521,000;0,63835;423,000;0,97912;
473,500;0,79394;521,500;0,63223;423,500;0,97838;
474,000;0,79072;522,000;0,62631;424,000;0,97755;
474,500;0,7878;522,500;0,62056;424,500;0,97677;
475,000;0,78468;523,000;0,61492;425,000;0,97597;
475,500;0,78094;523,500;0,60938;425,500;0,97503;
476,000;0,77658;524,000;0,6038;426,000;0,97383;
476,500;0,77193;524,500;0,59794;426,500;0,97238;
477,000;0,76718;525,000;0,59164;427,000;0,97069;
477,500;0,76234;525,500;0,58508;427,500;0,96879;
478,000;0,75731;526,000;0,5786;428,000;0,96681;
478,500;0,75208;526,500;0,57234;428,500;0,96494;
479,000;0,74673;527,000;0,56623;429,000;0,96331;
479,500;0,74145;527,500;0,56031;429,500;0,96199;
480,000;0,73654;528,000;0,5548;430,000;0,96097;
480,500;0,73222;528,500;0,54973;430,500;0,96021;
481,000;0,72841;529,000;0,54469;431,000;0,95946;
481,500;0,72482;529,500;0,53919;431,500;0,95837;
482,000;0,72121;530,000;0,53316;432,000;0,95667;
482,500;0,71743;530,500;0,52693;432,500;0,95446;
483,000;0,71338;531,000;0,52073;433,000;0,95207;
483,500;0,70893;531,500;0,51455;433,500;0,94984;
484,000;0,70411;532,000;0,50837;434,000;0,94779;
484,500;0,69893;532,500;0,50235;434,500;0,94571;
485,000;0,69344;533,000;0,49653;435,000;0,94327;
485,500;0,68787;533,500;0,49063;435,500;0,94022;
486,000;0,6826;534,000;0,48434;436,000;0,93655;
486,500;0,6779;534,500;0,47772;436,500;0,93245;
487,000;0,6736;535,000;0,47113;437,000;0,92817;
487,500;0,66929;535,500;0,46482;437,500;0,92393;
488,000;0,66469;536,000;0,45868;438,000;0,91988;
488,500;0,65988;536,500;0,45257;438,500;0,91603;
489,000;0,65517;537,000;0,4465;439,000;0,91225;
489,500;0,65069;537,500;0,44049;439,500;0,90848;
490,000;0,64633;538,000;0,43446;440,000;0,90484;
490,500;0,64208;538,500;0,42827;440,500;0,90149;
491,000;0,63814;539,000;0,42186;441,000;0,89848;
491,500;0,63446;539,500;0,41525;441,500;0,89576;
492,000;0,63067;540,000;0,40849;442,000;0,89328;
492,500;0,62636;540,500;0,40165;442,500;0,89112;
493,000;0,62154;541,000;0,39465;443,000;0,88928;
493,500;0,6165;541,500;0,38744;443,500;0,88764;
494,000;0,61157;542,000;0,38008;444,000;0,88599;
494,500;0,6068;542,500;0,37286;444,500;0,8841;
495,000;0,60192;543,000;0,36604;445,000;0,8818;
495,500;0,59669;543,500;0,35965;445,500;0,87901;
496,000;0,5912;544,000;0,35343;446,000;0,8758;
496,500;0,58584;544,500;0,34698;446,500;0,87228;
497,000;0,58103;545,000;0,34003;447,000;0,86857;
497,500;0,57685;545,500;0,33257;447,500;0,86479;
498,000;0,57301;546,000;0,32489;448,000;0,861;
498,500;0,56907;546,500;0,31743;448,500;0,85723;
499,000;0,56471;547,000;0,31052;449,000;0,8536;
499,500;0,5599;547,500;0,30418;449,500;0,8504;
500,000;0,55488;548,000;0,29809;450,000;0,84781;
500,500;0,54993;548,500;0,29185;450,500;0,84564;
501,000;0,54511;549,000;0,28532;451,000;0,84347;
501,500;0,5402;549,500;0,27864;451,500;0,84092;
502,000;0,53495;550,000;0,27211;452,000;0,8379;
502,500;0,52953;550,500;0,26582;452,500;0,8345;
503,000;0,5243;551,000;0,2596;453,000;0,83087;
503,500;0,51944;551,500;0,25329;453,500;0,82717;
504,000;0,51481;552,000;0,24699;454,000;0,82362;
504,500;0,51031;552,500;0,24097;454,500;0,82037;
505,000;0,50598;553,000;0,23539;455,000;0,81746;
505,500;0,50176;553,500;0,23017;455,500;0,81479;
506,000;0,49741;554,000;0,22513;456,000;0,81228;
506,500;0,49276;554,500;0,22023;456,500;0,80981;
507,000;0,48796;555,000;0,21547;457,000;0,80727;
507,500;0,48322;555,500;0,2108;457,500;0,80459;
508,000;0,47864;556,000;0,20615;458,000;0,80177;
508,500;0,47421;556,500;0,2015;458,500;0,79885;
509,000;0,47007;557,000;0,19701;459,000;0,79594;
509,500;0,46636;557,500;0,1929;459,500;0,79311;
510,000;0,46302;558,000;0,18917;460,000;0,79034;
510,500;0,45964;558,500;0,18558;460,500;0,78749;
511,000;0,45576;559,000;0,18184;461,000;0,78438;
511,500;0,45127;559,500;0,17785;461,500;0,78099;
512,000;0,44638;560,000;0,17373;462,000;0,77736;
512,500;0,44141;560,500;0,16971;462,500;0,77362;
513,000;0,43668;561,000;0,16605;463,000;0,76996;
513,500;0,43246;561,500;0,16283;463,500;0,76664;
514,000;0,42882;562,000;0,16001;464,000;0,76379;
514,500;0,42545;562,500;0,15743;464,500;0,76133;
515,000;0,42189;563,000;0,1549;465,000;0,75908;
515,500;0,41796;563,500;0,15221;465,500;0,75689;
516,000;0,4139;564,000;0,14927;466,000;0,75465;
